Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
CPU,,AMD,Ryzen 7 4800U,231,76.1,1829,https://cpu.userbenchmark.com/SpeedTest/1005639/AMD-Ryzen-7-4800U-with-Radeon-Graphics
CPU,CL8068403359524,Intel,Core i7-8750H,232,76.1,354768,https://cpu.userbenchmark.com/SpeedTest/470418/IntelR-CoreTM-i7-8750H-CPU---220GHz
CPU,,Intel,Xeon E3-1230 v5,233,76.1,1873,https://cpu.userbenchmark.com/SpeedTest/72554/IntelR-XeonR-CPU-E3-1230-v5---340GHz
CPU,CM8068403358913,Intel,Core i5-8400T,234,76,4024,https://cpu.userbenchmark.com/SpeedTest/475176/IntelR-CoreTM-i5-8400T-CPU---170GHz
CPU,,Intel,Core i7-5850HQ,235,76,54,https://cpu.userbenchmark.com/SpeedTest/35099/IntelR-CoreTM-i7-5850HQ-CPU---270GHz
CPU,BX80646I74790,Intel,Core i7-4790,236,75.9,242845,https://cpu.userbenchmark.com/Intel-Core-i7-4790/Rating/2293
CPU,100-100000284BOX,AMD,Ryzen 3 3100,237,75.8,43606,https://cpu.userbenchmark.com/SpeedTest/1148404/AMD-Ryzen-3-3100-4-Core-Processor
CPU,CL8068403373614,Intel,Core i5-8400H,238,75.7,1128,https://cpu.userbenchmark.com/SpeedTest/524256/IntelR-CoreTM-i5-8400H-CPU---250GHz
CPU,BX80637I53570K,Intel,Core i5-3570K,239,75.7,196925,https://cpu.userbenchmark.com/Intel-Core-i5-3570K/Rating/1316
CPU,BX80623I72600K,Intel,Core i7-2600K,240,75.6,133500,https://cpu.userbenchmark.com/Intel-Core-i7-2600K/Rating/621
CPU,BX80646I74771,Intel,Core i7-4771,241,75.6,11476,https://cpu.userbenchmark.com/Intel-Core-i7-4771/Rating/2008
CPU,,Intel,Core i7-11370H,242,75.6,12785,https://cpu.userbenchmark.com/SpeedTest/1444990/11th-Gen-IntelR-CoreTM-i7-11370H---330GHz
CPU,,Intel,Xeon X5690,243,75.6,4060,https://cpu.userbenchmark.com/SpeedTest/16752/IntelR-XeonR-CPU-----------X5690----347GHz
CPU,BX80646I74770,Intel,Core i7-4770,244,75.5,166704,https://cpu.userbenchmark.com/Intel-Core-i7-4770/Rating/1978
CPU,BX80623I72700K,Intel,Core i7-2700K,245,75.5,22054,https://cpu.userbenchmark.com/Intel-Core-i7-2700K/Rating/1985
CPU,BX80646E31241V3,Intel,Xeon E3-1241 v3,246,75.4,3561,https://cpu.userbenchmark.com/SpeedTest/15164/IntelR-XeonR-CPU-E3-1241-v3---350GHz
CPU,YD299XAZAFWOF,AMD,Ryzen TR 2990WX,247,75.2,3098,https://cpu.userbenchmark.com/SpeedTest/560423/AMD-Ryzen-Threadripper-2990WX-32-Core-Processor
CPU,,Intel,Core i5-2550K,248,75.2,2651,https://cpu.userbenchmark.com/SpeedTest/5474/IntelR-CoreTM-i5-2550K-CPU---340GHz
CPU,YD190XA8AEWOF,AMD,Ryzen TR 1900X,249,75.1,6573,https://cpu.userbenchmark.com/SpeedTest/340638/AMD-Ryzen-Threadripper-1900X-8-Core-Processor
CPU,BX80646I54690,Intel,Core i5-4690,250,75.1,70015,https://cpu.userbenchmark.com/Intel-Core-i5-4690/Rating/2311
CPU,BX80662I76700,Intel,Core i7-6700,251,75.1,261857,https://cpu.userbenchmark.com/Intel-Core-i7-6700/Rating/3515
CPU,YD180XBCAEWOF,AMD,Ryzen 7 1800X,252,75.1,87550,https://cpu.userbenchmark.com/AMD-Ryzen-7-1800X/Rating/3916
CPU,YD192XA8AEWOF,AMD,Ryzen TR 1920X,253,75,10743,https://cpu.userbenchmark.com/AMD-Ryzen-TR-1920X/Rating/3934
